"Código","Nombre científico oficial"
"Agrder","Agrilus derasofasciatus"
"Agreup","Agrimonia eupatoria subsp. eupatoria"
"Agrexc","Agrotis exclamationis"
"Agrgen","Agriphila geniculea"
"Agrgit","Agrostemma githago"
"Agrhel","Agrochola helvola"
"Agrips","Agrotis ipsilon"
"Agrlat","Agrilus laticornis"
"Agrleu","Agriopis leucophaearia"
"Agrlin","Agriotes lineatus"
"Agrlot","Agrochola lota"
"Agrlyc","Agrochola lychnidis"
"Agrmac","Agrochola macilenta"
"Agrmar","Agriopis marginaria"
"Agrmer","Agrochola meridionalis"
"Agrmor","Agrilus moriscus"
"Agrmur","Agrypnus murinus"
"Agrore","Agrochola orejoni"
"Agrpal","Agriotes pallidulus"
"Agrpul","Agrilus pulvereus"
"Agrput","Agrotis puta"
"Agrseg","Agrotis segetum"
"Agrsol","Agrilus solieri"
"Agrsor","Agriotes sordidus"
"Agrsto","Agrostis stolonifera"
"Agrstr","Agriphila straminella"
"Agrsui","Agrilus suicicollis"
"Agrsul","Agrilus sulcicollis"
"Agrtri","Agriphila tristella"
"Agrtru","Agrotis trux"
"Agrvir","Agrilus viridis"
"Ailalt","Ailanthus altissima"
"Aiostr","Aiolopus strepens"
"Aircar","Aira caryophyllea"
"Aircup","Aira cupaniana"
"Airpra","Aira praecox"
"Airten","Airopsis tenella"
"Aixgal","Aix galericulata"
"Aizhis","Aizoon hispanicum"
"Ajucha","Ajuga chamaepitys"
"Ajupyr","Ajuga pyramidalis"
"Ajurep","Ajuga reptans"
"Alaarv","Alauda arvensis"
"Albalb","Alburnus alburnus"
"Alcatt","Alcedo atthis"
"Alcbas","Alchemilla basaltica"
"Alccor","Alchemilla coriacea"
"Alcfil","Alchemilla filicaulis var. vestita"
"Alcgla","Alchemilla glabra"
"Alcpli","Alchemilla plicatula"
"Alcpol","Alchemilla polatschekiana"
"Alcrea","Alcis repandata"
"Alcreu","Alcis repandatus"
"Alcros","Alcea rosea"
"Alcsaa","Alchemilla saxatilis"
"Alcsae","Alchemilla saxetana"
"Alcstr","Alchemilla straminea"
"Alctra","Alchemilla transiens"
"Alcvet","Alchemilla vetteri"
"Alcxan","Alchemilla xanthochlora"
"Alecla","Aleochara clavicornis"
"Alecur","Aleochara curtula"
"Aledis","Aleucis distinctata"
"Alefum","Aleochara fumata"
"Alekam","Aleochara kamila"
"Alemoe","Aleochara moesta"
"Aleruf","Alectoris rufa"
"Alespa","Aleochara spadicea"
"Aletri","Aleochara tristis"
"Alipla","Alisma plantago-aquatica"
"Allalf","Allophyes alfaroi"
"Allamp","Allium ampeloprasum"
"Allgut","Allium guttatum subsp. sardoum"
"Allmor","Allecula morio"
"Allole","Allium oleraceum"
"Allol2","Allium oleraceum var. oleraceum"
"Allpet","Alliaria petiolata"
"Allqua","Allonyx quadrimaculatus"
"Allros","Allium roseum"
"Allsch","Allium schoenoprassum"
"Allsen","Allium senescens subsp. montanum"
"Allsph","Allium sphaerocephalon"
"Allurs","Allium ursinum"
"Allvic","Allium victorialis"
"Alnglu","Alnus glutinosa"
"Aloaeg","Alopochen aegyptiacus"
"Aloaeq","Alopecurus aequalis"
"Aloalb","Alopecosa albofasciata"
"Aloalo","Aloina aloides"
"Aloamb","Aloina ambigua"
"Aloaru","Alopecurus arundinaceus"
"Alogen","Alopecurus geniculatus"
"Alomyo","Alopecurus myosuroides"
"Alorig","Aloina rigida"
"Alospp","Alona spp"
"Alotab","Alosterna tabacicolor"
"Alsaes","Alsophila aescularia"
"Altcan","Althaea cannabina"
"Althir","Althaea hirsuta"
"Altoff","Althaea officinalis"
"Altole","Altica oleracea"
"Altque","Altica quercetorum"
"Aluhex","Alucita hexadactyla"
"Alyaly","Alyssum alyssoides"
"Alygra","Alyssum granatense"
"Alylin","Alyssum linifolium"
"Alymon","Alyssum montanum"
"Alyobs","Alytes obstetricans"
"Alysim","Alyssum simplex"
"Amaaen","Amara aenea"
"Amaalb","Amaranthus albus"
"Amabli","Amaranthus blitoides"
"Amacur","Amara curta"
"Amadef","Amaranthus deflexus"
"Amaesp","Amaladera espagnoli"
"Amafar","Amazona farinosa"
"Amagra","Amaranthus graecizans subsp. silvestris"
"Amahyb","Amaranthus hybridus"
"Amapow","Amaranthus powellii"
"Amaret","Amaranthus retroflexus"
"Amarot","Amara rotundicollis"
"Amaumb","Amarochara umbrosa"
"Ambnig","Amblystomus niger"
"Ambray","Amblystomus raymondi"
"Ambser","Amblystegium serpens"
"Amemel","Ameiurus melas"
"Ameova","Amelanchier ovalis"
"Ammcae","Ammoconia caecimacula"
"Ammvis","Ammi visnaga"
"Ampatr","Amphimallom atrum"
"Ampaur","Ampedus aurilegulus"
"Ampglo","Amphicyllis globus"
"Ampmou","Amphidium mougeotii"
"Ampnig","Ampedus nigroflavus"
"Ampoch","Amphimallom ochraceum"
"Amppin","Amphimallom pini"
"Amppom","Ampedus pomorum"
"Amppyg","Amphimallom pygiale"
"Ampque","Ampedus quercicola"
"Ampror","Amphimallom roris"
"Ampruf","Ampedus rufipennis"
"Ampsan","Ampedus sanguineus"
"Ampsei","Amphimallom seidlitzi"
"Ampsol","Amphimallom solstitialis"
"Anaacu","Anas acuta"
"Anaarv","Anagallis arvensis"
"Anabah","Anas bahamensis"
"Anabel","Anarrhinum bellidifolium"
"Anacar","Anaerea carcharias"
"Anacla","Anacyclus clavatus"
"Anacly","Anas clypeata"
"Anacre","Anas crecca"
"Anacya","Anas cyanoptera"
"Anaeph","Anax ephippiger"
"Anafas","Anaspis fasciata"
"Anafla","Anaspis flava"
"Anafoe","Anagallis foemina"
"Anafro","Anaspis frontalis"
"Anagar","Anaspis garneysi"
"Anaglo","Anacaena globulus"
"Anaimp","Anax imperator"
"Analur","Anaspis lurida"
"Anamac","Anaspis maculata"
"Anamel","Anaspis melanopa"
"Anamin","Anastrophyllum minutum"
"Anamys","Anaglyptus mysticus"
"Ananig","Anaspis nigripes"
"Anaoce","Anatis ocellata"
"Anapar","Anax parthenope"
"Anapen","Anas penelope"
"Anapla","Anas platyrhynchos"
"Anapul","Anaspis pulicaria"
"Anapyr","Anacamptis pyramidalis"
"Anaque","Anas querquedula"
"Anareg","Anaspis regimbarti"
"Anaruf","Anaspis ruficollis"
"Anarul","Anaspis rufilabris"
"Anasan","Anastrangalia sanguinolenta"
"Anastr","Anas strepera"
"Anaten","Anagallis tenella"
"Anatho","Anaspis thoracica"
"Anaval","Anacyclus valentinus"
"Anavar","Anaspis varians"
"Ancabd","Ancistronycha abdominalis"
"Ancarv","Anchusa arvensis"
"Ancdor","Anchomenus dorsalis"
"Ancflu","Ancylus fluviatilis"
"Ancita","Anchusa italica"
"Andint","Andryala integrifolia"
"Andmax","Androsace maxima"
"Andmut","Andreaea mutabilis"
"Andrag","Andryala ragusina"
"Andra2","Andryala ragusina var. Ragusina"
"Andrio","Androsace rioxana"
"Androt","Andreaea rothii subsp. rothii"
"Andrup","Andreaea rupestris"
"Andvil","Androsace villosa"
"Aneaul","Anelosimus aulicus"
"Anenem","Anemone nemorosa"
"Anepin","Aneura pinguis"
"Aneran","Anemone ranunculoides"
"Angang","Anguilla anguilla"
"Angfra","Anguis fragilis"
"Angpru","Angeroma prunaria"
"Angsyl","Angelica sylvestris"
"Anibae","Anisoplia baetica"
"Anibin","Anisodactylus binotatus"
"Anigla","Anisotoma glabra"
"Anihum","Anisotoma humeralis"
"Anique","Anisorus quercus"
"Anisan","Anidorus sanguinolentus"
"Anoana","Anodonta anatina"
"Anoatr","Anopheles atroparvus"
"Anoatt","Anomodon attenuatus"
"Anocla","Anopheles claviger"
"Anocyg","Anodonta cygnea"
"Anohae","Anostirus haemapterus"
"Anolep","Anogramma leptophylla"
"Anomac","Anopheles maculipennis"
"Anopet","Anopheles petragnani"
"Anopun","Anobium punctatum"
"Anoruf","Anoplodera rufipes"
"Anosel","Anogcodes seladonius"
"Anosex","Anoplodera sexguttata"
"Anoste","Anoplotrupes stercorosus"
"Anovil","Anoxia villosa"
"Anovit","Anomodon viticulosus"
"Ansalb","Anser albifrons"
"Ansans","Anser anser"
"Ansfab","Anser fabalis"
"Antalp","Anthemis alpestris"
"Antari","Anthoxanthum aristatum subsp. aristatum"
"Antarv","Anthemis arvensis subsp. arvensis"
"Antatr","Anthobium atrocephalum"
"Antbad","Anticlea badiata"
"Antbar","Antirrhinum barrelieri"
"Antcad","Anthocharis cardamines"
"Antcae","Antherophagus canescens"
"Antcal","Antitrichia californica"
"Antcam","Anthus campestris"
"Antcan","Anthaxia carmen"
"Antcar","Anthemis carpatica"
"Antcau","Anthriscus caucalis"
"Antcer","Anthus cervinus"
"Antchi","Antitype chi"
"Antcon","Anthaxia confusa"
"Antcor","Anteriorchis coriophora"
"Antcot","Anthemis cotula"
"Antco2","Anteriorchis coriophora var. carpetana"
"Antcur","Antitrichia curtipendula"
"Antder","Anticlea derivata"
"Antdio","Antennaria dioica"
"Anteup","Anthocharis euphenoides"
"Antfen","Anthocomus fenestratus"
"Antfes","Anthrenus festivus"
"Antfra","Anteriorchis fragrans"
"Antfun","Anthaxia funerula"
"Antfus","Anthrenus fuscus"
"Antgod","Anthaxia godeti"
"Anthun","Anthaxia hungarica"
"Anthyp","Anthaxia hypomalaena"
"Antign","Anthaxia ignipennis"
"Antimp","Anthaxia impunctata"
"Antlil","Anthericum liliago"
"Antman","Anthaxia manca"
"Antmen","Anthaxia mendizabali"
"Antmil","Anthaxia millefolii"
"Antmon","Anthyllis montana subsp. hispanica"
"Antmus","Anthrenus museorum"
"Antnig","Antherophagus nigricornis"
"Antnit","Anthaxia nitidula"
"Antodo","Anthoxanthum odoratum"
"Antpra","Anthus pratensis"
"Antpun","Anthoceros punctatus"
"Antsal","Anthaxia salicis"
"Antsem","Anthaxia semicuprea"
"Antsep","Anthaxia sepulchralis"
"Antspi","Anthus spinoletta"
"Antsyl","Anthriscus sylvestris"
"Anttri","Anthemis triumfetti"
"Anttrv","Anthus trivialis"
"Antvit","Antocha vitripennis"
"Antvul","Anthyllis vulneraria"
"Antvu2","Anthyllis vulneraria subsp. alpestris"
"Antvu3","Anthyllis vulneraria subsp. iberica"
"Antvu4","Anthyllis vulneraria subsp. vulnerarioides"
"Antvu5","Anthyllis vulneraria subsp. sampaioana"
"Anysab","Anyphaena sabina"
"Apacre","Apamea crenata"
"Apairi","Apatura iris"
"Apalyt","Apamea lythoxylaea"
"Apamon","Apamea monoglypha"
"Apapla","Apamea platinea"
"Apasor","Apamea sordens"
"Aphang","Aphanisticus angustatus"
"Apharv","Aphanes arvensis"
"Aphcar","Aphodius carpetanus"
"Aphcon","Aphodius conjugatus"
"Aphdep","Aphodius depressus"
"Aphelo","Aphanisticus elongatus"
"Aphema","Aphanisticus emarginatus"
"Aphfim","Aphodius fimetarius"
"Aphfos","Aphodius fossor"
"Aphhyp","Aphantophus hyperanthus"
"Aphmic","Aphanes microcarpa"
"Aphmon","Aphyllanthes monspeliensis"
"Aphruf","Aphodius rufus"
"Aphscr","Aphodius scrutator"
"Aphsem","Aphantaulax seminigra"
"Aphsoc","Aphomia sociella"
"Apinod","Apium nodiflorum"
"Aplimp","Aplocnemus impressus"
"Aplneb","Aplocnemia nebulosa"
"Aplpla","Aplocera plagiata"
"Aplpra","Aplocera praeformata"
"Apocra","Aporia crataegi"
"Apofla","Apodemus flavicollis"
"Apohis","Apocheima hispidaria"
"Apolue","Aporophyla lueneburgensis"
"Apolut","Aporophyla lutulenta"
"Aponig","Aporophyla nigra"
"Apopil","Apocheima pilosaria"
"Apopub","Apometzgeria pubescens"
"Apospe","Apopestes spectrum"
"Aposyl","Apodemus sylvaticus"
"Apuapu","Apus apus"
"Apumel","Apus melba / Tachymarptis melba"
"Apupal","Apus pallidus"
"Aquada","Aquila adalberti"
"Aquchr","Aquila chrysaetos"
"Aqucla","Aquila clanga"
"Aqufas","Aquila fasciata"
"Aqunaj","Aquarius najas"
"Aqupen","Aquila pennata"
"Aquvul","Aquilegia vulgaris subsp. vulgaris"
"Araalp","Arabis alpina"
"Araara","Ara ararauna"
"Araaur","Arabis auriculata"
"Aracuc","Araniella cucurbitina"
"Aradia","Araneus diadematus"
"Arahir","Arabis hirsuta"
"Arapar","Arabis parvula"
"Arapla","Arabis planisiliqua"
"Arasca","Arabis scabra"
"Araser","Arabis serpillifolia"
"Aratha","Arabidopsis thaliana"
"Aratur","Arabis turrita"
"Arbune","Arbutus unedo"
"Arccaj","Arctia caja"
"Arcl-n","Arctornis l-nigrum"
"Arcmin","Arctium minus"
"Arcnem","Archicarabus nemoralis ssp. lamadridae"
"Arcoxy","Arceuthobium oxycedri"
"Arcpyr","Archarius pyrrhoceras"
"Arcros","Archips rosanus"
"Arcuva","Arctostaphylos uva-ursi"
"Ardcin","Ardea cinerea"
"Ardpur","Ardea purpurea"
"Ardral","Ardeola ralloides"
"Areare","Arethusana arethusa"
"Areeri","Arenaria erinacea"
"Areery","Aredolpona erythroptera"
"Aregra","Arenaria grandiflora"
"Aregr2","Arenaria grandiflora subsp. grandiflora"
"Aregr3","Arenaria grandiflora subsp. incrassata"
"Areint","Arenaria interpres"
"Arelep","Arenaria leptoclados"
"Aremod","Arenaria modesta subsp. modesta"
"Aremon","Arenaria montana subsp. montana"
"Arerub","Aredolpona rubra"
"Areser","Arenaria serpyllifolia"
"Argadi","Argynnis adippe"
"Argagl","Argynnis aglaja"
"Argbru","Argiope bruennichi"
"Argnio","Argynnis niobe"
"Argpan","Argynnis pandora"
"Argpap","Argynnis paphia"
"Argzan","Argyrolobium zanonii"
"Arhfer","Arhopalus ferus"
"Arhrus","Arhopalus rusticus"
"Aricra","Aricia cramera"
"Arimon","Aricia montensis"
"Arimor","Aricia morronensis"
"Aripau","Aristolochia paucinervis"
"Aripis","Aristolochia pistolochia"
"Armare","Armeria arenaria subsp. arenaria"
"Armbig","Armeria bigerrensis subsp. losae"
"Arnmin","Arnoseris minima"
"Aromos","Aromia moschata"
"Arralb","Arrhenatherum album"
"Arrela","Arrhenatherum elatius"
"Arrel2","Arrhenatherum elatius subsp. bulbosum"
"Arrel3","Arrhenatherum elatius subsp. elatius"
"Artabs","Artemisia absinthium"
"Artcam","Artemisia campestris subsp. glutinosa"
"Arther","Artemisia herba-alba"
"Artlat","Artimelia latreillei"
"Artvul","Artemisia vulgaris"
"Arudon","Arundo donax"
"Aruita","Arum italicum"
"Arumac","Arum maculatum"
"Aruori","Arum orientale subsp. orientale"
"Arvsap","Arvicola sapidus"
"Asacya","Asaphidion cyanicorne"
"Aselli","Asellidae"
"Asestr","Asemun striatum"
"Asifer","Asiorestia ferruginea"
"Asifla","Asio flammeus"
"Asiotu","Asio otus"
"Asiser","Asida sericea"
"Aspacu","Asparagus acutifolius"
"Aspadi","Asplenium adiantum-nigrum var. adiantum-nigrum"
"Aspaes","Asphodelus aestivus"
"Aspalb","Asphodelus albus subsp. albus"
"Aspalt","Asplenium x alternifolium"
"Aspari","Asperula aristata"
"Asparv","Asperula arvensis"
"Aspar2","Asperula aristata subsp. scabra"
"Aspbil","Asplenium billotii"
"Aspcyn","Asperula cynanchica"
"Aspfis","Asphodelus fistulosus"
"Aspfon","Asplenium fontanum subsp. fontanum"
"Aspgia","Aspitates gilvaria"
"Aspgiu","Aspitates gilvarius"
"Aspobo","Asplenium obovatum subsp. lanceolatum"
"Aspoch","Aspitates ochrearia"
"Aspoff","Asparagus officinalis subsp. officinalis"
"Aspono","Asplenium onopteris"
"Asporb","Aspidiphorus orbiculatus"
"Asppet","Asplenium petrarchae subsp. petrarchae"
"Asppro","Asperugo procumbens"
"Asppyr","Asperula pyrenaica"
"Aspram","Asphodelus ramosus"
"Asprut","Asplenium ruta-muraria subsp. ruta-muraria"
"Aspsar","Asplenium x sarniense"
"Aspsee","Asplenium seelosii subsp. glabrum"
"Aspsep","Asplenium septentrionale subsp. septentrionale"
"Aspsou","Asplenium x souchei"
"Aspsta","Asplenium x staufferi"
"Asptic","Asplenium x ticinense"
"Asptri","Asplenium trichomanes"
"Asptr2","Asplenium trichomanes subsp. pachyrachis"
"Asptr3","Asplenium trichomanes subsp. quadrivalens"
"Asptr4","Asplenium trichomanes subsp. trichomanes"
"Asptr5","Asplenium trichomanes subsp. hastatum"
"Aspvir","Asplenium viride"
"Astalo","Astragalus alopecuroides"
"Astalp","Aster alpinus"
"Astara","Aster aragonensis"
"Astaus","Astragalus austriacus"
"Astcri","Astomum crispum"
"Astdep","Astragalus depressus"
"Astech","Astragalus echinatus"
"Astgly","Astragalus glycyphyllos"
"Astham","Astragalus hamosus"
"Asthyp","Astragalus hypoglottis"
"Astinc","Astragalus incanus"
"Astlio","Aster linosyris"
"Astliu","Asterolinon linum-stellatum"
"Astmaj","Astrantia major"
"Astmon","Astragalus monspessulanus subsp. monspessulanus"
"Astmo2","Astragalus monspessulanus subsp. gypsophilus"
"Astmo3","Astragalus monspessulanus subsp. teresianus"
"Astsem","Astragalus sempervirens"
"Astses","Astragalus sesameus"
"Astse2","Astragalus sempervirens subsp. muticus"
"Astsph","Asteroscopus sphinx"
"Astsqu","Aster squamatus"
"Astste","Astragalus stella"
"Astves","Astragalus vesicarius subsp. vesicarius"
"Astwil","Aster willkommii"
"Ataspp","Atalanta spp."
"Athbru","Atheta brunneipennis"
"Athcom","Atheta complana"
"Athdis","Athyrium distentifolium"
"Athduo","Atholus duodecimstriatus"
"Athfil","Athyrium filix-femina"
"Athhae","Athous haemorrhoidalis"
"Athhos","Athetis hospes"
"Athhya","Athalamia hyalina"
"Athkru","Athous kruegeri"
"Athnig","Atheta nigritula"
"Athnoc","Athene noctua"
"Athobs","Athous obsoletus"
"Athpal","Athetis pallustris"
"Athpen","Athroolopha pennigenaria"
"Athspp","Atheris spp."
"Athtib","Atheta tibialis"
"Atltig","Atlantarctia tigrina"
"Atoloh","Atomaria lohsei"
"Atonig","Atomaria nigrirostris"
"Atotes","Atomaria testacea"
"Atraff","Atrecus affinis"
"Atrbel","Atropa bella-donna"
"Atrcan","Atractylis cancellata"
"Atrhal","Atriplex halimus"
"Atrhum","Atractylis humilis"
"Atrpat","Atriplex patula"
"Atrpro","Atriplex prostrata"
"Atrros","Atriplex rosea"
"Atrspp","Atrichops spp."
"Atrund","Atrichum undulatum"
"Attami","Attalus amictus"
"Attpel","Attagenus pellio"
"Attpun","Attagenus punctatus"
"Atttri","Attagenus trifasciatus"
"Atydes","Atyaephyra desmarestii"
"Auland","Aulacomnium androgynum"
"Aulbre","Aulonothroscus brevicollis"
"Aulpal","Aulacomnium palustre"
"Aulruf","Aulonium ruficorne"
"Auspal","Austropotamobius pallipes"
"Autgam","Autographa gamma"
"Autpun","Autalia puncticollis"
"Avebar","Avena barbata subsp. barbata"
"Avebro","Avenula bromoides"
"Avebr2","Avenula bromoides subsp. pauneroi"
"Avefat","Avena fatua"
"Avelod","Avenula lodunensis subsp. romero-zarcoi"
"Avepr2","Avenula pratensis subsp. iberica"
"Avepr3","Avenula pratensis var. paniculata"
"Avepr4","Avenula pratensis var. vasconica"
"Aveste","Avena sterilis subsp. sterilis"
"Avest2","Avena sterilis subsp. ludoviciana"
"Avesul","Avenula sulcata subsp. sulcata"
"Axipul","Axinotarsus pulicarius"
"Aytcol","Aythya collaris"
"Aytfer","Aythya ferina"
"Aytful","Aythya fuligula"
"Aytmar","Aythya marila"
"Aytnyr","Aythya nyroca"
"Azospp","Azolla spp"
"Babbab","Barbatula barbatula"
"Badbul","Badister bullatus"
"Baespp","Baetis spp."
"Balalp","Baldellia alpestris"
"Balcha","Ballus chalybeius"
"Balnig","Ballota nigra subsp. foetida"
"Barbar","Barbilophozia barbata"
"Barcon","Barbula convoluta var. convoluta"
"Barflo","Barbilophozia floerkei"
"Bargra","Barbus graellsii"
"Barhaa","Barbus haasi"
"Barhal","Bartramia halleriana"
"Barhat","Barbilophozia hatcheri"
"Barint","Barbarea intermedia"
"Barith","Bartramia ithyphylla"
"Barlyc","Barbilophozia lycopodioides"
"Barpom","Bartramia pomiformis"
"Barstr","Bartramia stricta"
"Barung","Barbula unguiculata"
"Basfla","Basistriga flammatra"
"Bassco","Bassia scoparia"
"Batbat","Barbastella barbastellus"
"Batven","Batrisodes venustus"
"Belper","Bellis perennis"
"Belsyl","Bellis sylvestris"
"Beltri","Bellardia trixago"
"Benalt","Benibotarus alternatus"
"Benbic","Bena bicolorana"
"Bermaj","Berberomeloe majalis"
"Betalb","Betula alba"
"Betal2","Betula alba var. alba"
"Betal3","Betula alba var. glabrata"
"Betcel","Betula celtiberica"
"Betmar","Beta maritima"
"Betpe2","Betula pendula var. meridionalis"
"Bicfam","Bichroma famula"
"Bidaur","Bidens aurea"
"Bidtri","Bidens tripartita"
"Bisbet","Biston betularius"
"Bisstr","Biston strataria"
"Bisval","Biscutella valentina"
"Bisva2","Biscutella valentina subsp. pyrenaica"
"Bisva3","Biscutella valentina subsp. valentina"
"Bisva4","Biscutella valentina var. laevigata"
"Bisva5","Biscutella valentina var. valentina"
"Bisva6","Biscutella valentina var. variegata"
"Bitbit","Bituminaria bituminosa"
"Bitcre","Bitoma crenata"
"Bitten","Bithynia tentaculata"
"Blamuc","Blaps mucronata"
"Blaper","Blackstonia perfoliata subsp. perfoliata"
"Bleadu","Blepharita adusta"
"Blefas","Blepharicera fasciata"
"Blespi","Blechnum spicant var. spicant"
"Bletri","Blepharostoma trichophyllum"
"Boldia","Boloria dia"
"Boleup","Boloria euphrosyne"
"Bolret","Bolitophagus reticulatus"
"Bolsel","Boloria selene"
"Bomdis","Bombycilaena discolor"
"Bomere","Bombycilaena erecta"
"Boroff","Borago officinalis"
"Boscap","Bostrichus capucinus"
"Botint","Bothrideres interstitialis"
"Botlun","Botrychium lunaria"
"Botste","Botaurus stellaris"
"Bovung","Boveycantharis unguiculata"
"Boyire","Boyeria irene"
"Braalb","Brachythecium albicans"
"Bracor","Brachyleptura cordigera"
"Bracre","Brachinus crepitans"
"Bradis","Brachypodium distachyon"
"Braful","Brachyleptura fulva"
"Bragla","Brachythecium glareosum"
"Brahar","Bradycellus harpalinus"
"Brahyb","Brachyleptura hybrida"
"Braleu","Branta leucopsis"
"Brameg","Brachygonus megerlei"
"Branap","Brassica napus"
"Braphn","Brachypodium pinnatum x B.phoenicoides"
"Brapho","Brachypodium phoenicoides"
"Brapin","Brachypodium pinnatum subsp. rupestre"
"Brarep","Brassica repanda"
"Braret","Brachypodium retusum"
"Brare2","Brassica repanda subsp. blancoana"
"Brare3","Brassica repanda subsp. cantabrica"
"Brariv","Brachythecium rivulare"
"Brarut","Brachythecium rutabulum"
"Brasal","Brachythecium salebrosum"
"Braspp","Brachyptera spp."
"Brastr","Brachyleptura strangulata"
"Brasyl","Brachypodium sylvaticum subsp. sylvaticum"
"Bravar","Brachinus variventris"
"Bravel","Brachytheciastrum velutinum var. velutinum"
"Braves","Brachypterolus vestitus"
"Brave2","Brachytheciastrum velutinum var. salicinum"
"Bredap","Brenthis daphne"
"Brehec","Brenthis hecate"
"Breino","Brenthis ino"
"Briame","Brimeura amethystina"
"Bricir","Brintesia circe"
"Brimax","Briza maxima"
"Brimed","Briza media"
"Brimin","Briza minor"
"Broarv","Bromus arvensis"
