"Id","Nombre científico","Reino","Phylum","Clase","Orden","Familia","Genero","Especie","Infraespecífico","Autor"
"3319","Acer opalus ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","opalus","---",""
"3744","Acer pseudoplatanus ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","pseudoplatanus","---",""
"325","Aceras anthropophorum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Aceras","anthropophorum","---",""
"502","Acherontia atropos ---","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Acherontia","atropos","---",""
"1425","Acheta domesticus ---","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","Acheta","domesticus","---",""
"1973","Acheta gossypii ---","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","Acheta","gossypii","---",""
"115","Achillea ageratum ---","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","ageratum","---",""
"2852","Achillea millefolium subsp.  millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","subsp.  millefolium",""
"3262","Achillea odorata ---","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","odorata","---",""
"4820","Achillea tomentosa ---","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","tomentosa","---",""
"375","Achondrostoma arcasii ---","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Achondrostoma","arcasii","---"," (Steindachner, 1866)"
"225","Acinos alpinus ---","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Acinos","alpinus","---",""
"4947","Aclypea undata ---","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Aclypea","undata","---",""
"1210","Acmaeodera crinita ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","crinita","---",""
"1322","Acmaeodera degener ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","degener","---",""
"3772","Acmaeodera pulchra ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","pulchra","---",""
"1740","Acmaeoderella flavofasciata ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeoderella","flavofasciata","---",""
"3697","Acmaeops pratensis ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acmaeops","pratensis","---",""
"324","Aconitum anthora ---","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum","anthora","---",""
"5208","Aconitum vulparia subsp.  neapolitanum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum","vulparia","subsp.  neapolitanum",""
"2598","Acontia lucida ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontia","lucida","---",""
"4920","Acrida turrita ---","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Acrida","turrita","---",""
"3211","Acrobasis obliqua ---","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","obliqua","---",""
"3668","Acrobasis porphyrella ---","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","porphyrella","---",""
"420","Acrocephalus arundinaceus ---","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","arundinaceus","---",""
"3392","Acrocephalus paludicola ---","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","paludicola","---",""
"4280","Acrocephalus schoenobaenus ---","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","schoenobaenus","---",""
"4285","Acrocephalus scirpaceus ---","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","scirpaceus","---",""
"2784","Acronicta megacephala ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","megacephala","---",""
"4155","Acronicta rumicis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","rumicis","---",""
"4869","Acronicta tridens ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","tridens","---",""
"1850","Acrotona fungi ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","fungi","---",""
"4462","Actaea spicata ---","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","spicata","---",""
"2225","Actitis hypoleucos ---","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","hypoleucos","---",""
"946","Aculepeira ceropegia ---","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Aculepeira","ceropegia","---",""
"1131","Adactylotis contaminaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Adactylotis","contaminaria","---",""
"1917","Adactylotis gesticularia ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Adactylotis","gesticularia","---",""
"920","Adalbertia castiliaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Adalbertia","castiliaria","---",""
"1097","Adenocarpus complicatus ---","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Adenocarpus","complicatus","---",""
"2150","Adenocarpus hispanicus ---","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Adenocarpus","hispanicus","---",""
"2148","Adenocarpus hispanicus subsp.  neilense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Adenocarpus","hispanicus","subsp.  neilense",""
"862","Adiantum capillus-veneris ---","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","capillus-veneris","---",""
"83","Adonis aestivalis subsp.  aestivalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Adonis","aestivalis","subsp.  aestivalis",""
"84","Adonis aestivalis subsp.  squarrosa","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Adonis","aestivalis","subsp.  squarrosa",""
"1717","Adonis flammea ---","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Adonis","flammea","---",""
"2842","Adonis microcarpa ---","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Adonis","microcarpa","---",""
"5057","Adonis vernalis ---","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Adonis","vernalis","---",""
"674","Adscita bolivari ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Adscita","bolivari","---",""
"1916","Adscita geryon ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Adscita","geryon","---",""
"2363","Adscita jordani ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Adscita","jordani","---",""
"4277","Adscita schmidti ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Adscita","schmidti","---",""
"4552","Adscita statices ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Adscita","statices","---",""
"1900","Aegilops geniculata ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","geniculata","---",""
"5035","Aegilops ventricosa ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aegilops","ventricosa","---",""
"930","Aegithalos caudatus ---","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","caudatus","---",""
"1040","Aegomorphus clavipes ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Aegomorphus","clavipes","---",""
"4259","Aegosoma scabricorne ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Aegosoma","scabricorne","---",""
"2916","Aegypius monachus ---","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","monachus","---",""
"2555","Aeluropus littoralis ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aeluropus","littoralis","---",""
"2100","Aesculus hippocastanum ---","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","hippocastanum","---",""
"99","Aeshna affinis ---","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","affinis","---",""
"1277","Aeshna cyanea ---","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","cyanea","---",""
"2368","Aeshna juncea ---","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","juncea","---",""
"2899","Aeshna mixta ---","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","mixta","---",""
"2718","Aethionema marginatum ---","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Aethionema","marginatum","---",""
"2929","Aethionema monospermum ---","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Aethionema","monospermum","---",""
"4244","Aethionema saxatile ---","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Aethionema","saxatile","---",""
"4790","Aethionema thomasianum ---","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Aethionema","thomasianum","---",""
"640","Agabus biguttatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","biguttatus","---",""
"658","Agabus bipustulatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","bipustulatus","---",""
"725","Agabus brunneus ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","brunneus","---",""
"2029","Agabus guttatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","guttatus","---",""
"3068","Agabus nebulosus ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","nebulosus","---",""
"4496","Agabus spp. ---","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","spp.","---",""
"467","Agapanthia asphodeli ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Agapanthia","asphodeli","---",""
"885","Agapanthia cardui ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Agapanthia","cardui","---",""
"1293","Agapanthia dahli ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Agapanthia","dahli","---",""
"2383","Agapanthia kirbyi ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Agapanthia","kirbyi","---",""
"5099","Agapanthia villosoviridescens ---","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Agapanthia","villosoviridescens","---",""
"1709","Agapornis fischeri ---","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Agapornis","fischeri","---",""
"3138","Agathidium nigripenne ---","Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Agathidium","nigripenne","---",""
"4334","Agathidium seminulum ---","Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Agathidium","seminulum","---",""
"51","Agdistis adactyla ---","Animalia","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Agdistis","adactyla","---",""
"2333","Aglais io ---","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","io","---",""
"4981","Aglais urticae ---","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","urticae","---",""
"2297","Aglaope infausta ---","Animalia","Arthropoda","Insecta","Lepidoptera","Zygaenidae","Aglaope","infausta","---",""
"4717","Aglia tau ---","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Aglia","tau","---",""
"3582","Aglossa pinguinalis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Aglossa","pinguinalis","---",""
"2719","Agonum marginatum ---","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","marginatum","---",""
"4384","Agonum sexpunctatum ---","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","sexpunctatum","---",""
"5135","Agonum viridicupreum ---","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum","viridicupreum","---",""
"312","Agrilus angustulus ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","angustulus","---",""
"638","Agrilus biguttatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","biguttatus","---",""
"1349","Agrilus derasofasciatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","derasofasciatus","---",""
"2450","Agrilus laticornis ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","laticornis","---",""
"2978","Agrilus moriscus ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","moriscus","---",""
"3781","Agrilus pulvereus ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","pulvereus","---",""
"4420","Agrilus solieri ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","solieri","---",""
"4661","Agrilus sulcicollis ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","sulcicollis","---",""
"5137","Agrilus viridis ---","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","viridis","---",""
"1576","Agrimonia eupatoria subsp.  eupatoria","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","eupatoria","subsp.  eupatoria",""
"79","Agriopis aerugaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Agriopis","aerugaria","---",""
"517","Agriopis aurantaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Agriopis","aurantaria","---",""
"2499","Agriopis leucophaearia ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Agriopis","leucophaearia","---",""
"2716","Agriopis marginaria ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Agriopis","marginaria","---",""
"2537","Agriotes lineatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","lineatus","---",""
"3382","Agriotes pallidulus ---","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","pallidulus","---",""
"4430","Agriotes sordidus ---","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","sordidus","---",""
"1902","Agriphila geniculea ---","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","geniculea","---",""
"4583","Agriphila straminella ---","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","straminella","---",""
"4886","Agriphila tristella ---","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Agriphila","tristella","---",""
"1139","Agrius convolvuli ---","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Agrius","convolvuli","---",""
"667","Agrochola blidaensis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","blidaensis","---",""
"1020","Agrochola circellaris ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","circellaris","---",""
"2068","Agrochola helvola ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","helvola","---",""
"2593","Agrochola lota ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","lota","---",""
"2657","Agrochola lychnidis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","lychnidis","---",""
"2667","Agrochola macilenta ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","macilenta","---",""
"2821","Agrochola meridionalis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","meridionalis","---",""
"3332","Agrochola orejoni ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","orejoni","---",""
"1926","Agrostemma githago ---","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Agrostemma","githago","---",""
"214","Agrostis alpina ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","alpina","---",""
"835","Agrostis canina ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","canina","---",""
"859","Agrostis capillaris ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","capillaris","---",""
"916","Agrostis castellana ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","castellana","---",""
"1268","Agrostis curtisii ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","curtisii","---",""
"1328","Agrostis delicatula ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","delicatula","---",""
"4578","Agrostis stolonifera ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","stolonifera","---",""
"713","Agrotis brigramma ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","brigramma","---",""
"1603","Agrotis exclamationis ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","exclamationis","---",""
"2335","Agrotis ipsilon ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","ipsilon","---",""
"3849","Agrotis puta ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","puta","---",""
"4320","Agrotis segetum ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","segetum","---",""
"4910","Agrotis trux ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","trux","---",""
"3021","Agrypnus murinus ---","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Agrypnus","murinus","---",""
"4590","Aiolopus strepens ---","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Aiolopus","strepens","---",""
"907","Aira caryophyllea ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","caryophyllea","---",""
"1253","Aira cupaniana ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","cupaniana","---",""
"3679","Aira praecox ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","praecox","---",""
"4735","Airopsis tenella ---","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Airopsis","tenella","---",""
"1876","Aix galericulata ---","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","galericulata","---",""
"2146","Aizoon hispanicum ---","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Aizoon","hispanicum","---",""
"960","Ajuga chamaepitys ---","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Ajuga","chamaepitys","---",""
"3865","Ajuga pyramidalis ---","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Ajuga","pyramidalis","---",""
"3995","Ajuga reptans ---","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Ajuga","reptans","---",""
"433","Alauda arvensis ---","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","arvensis","---",""
"168","Alburnus alburnus ---","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Alburnus","alburnus","---",""
"4064","Alcea rosea ---","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Alcea","rosea","---",""
"513","Alcedo atthis ---","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","atthis","---","(Linnaeus, 1758)"
"597","Alchemilla basaltica ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","basaltica","---",""
"1151","Alchemilla coriacea ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","coriacea","---",""
"1691","Alchemilla filicaulis var. vestita","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","filicaulis","var. vestita",""
"1932","Alchemilla glabra ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","glabra","---",""
"3622","Alchemilla plicatula ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","plicatula","---",""
"3631","Alchemilla polatschekiana ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","polatschekiana","---",""
"4250","Alchemilla saxatilis ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","saxatilis","---",""
"4253","Alchemilla saxetana ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","saxetana","---",""
"4582","Alchemilla straminea ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","straminea","---",""
"4840","Alchemilla transiens ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","transiens","---",""
"5080","Alchemilla vetteri ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","vetteri","---",""
"5243","Alchemilla xanthochlora ---","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","xanthochlora","---",""
"3987","Alcis repandata ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Alcis","repandata","---",""
"3988","Alcis repandatus ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Alcis","repandatus","---",""
"4111","Alectoris rufa ---","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","rufa","---",""
"1036","Aleochara clavicornis ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","clavicornis","---",""
"1270","Aleochara curtula ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","curtula","---",""
"1846","Aleochara fumata ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","fumata","---",""
"2378","Aleochara kamila ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","kamila","---",""
"2903","Aleochara moesta ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","moesta","---",""
"4437","Aleochara spadicea ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","spadicea","---",""
"4889","Aleochara tristis ---","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","tristis","---",""
"1409","Aleucis distinctata ---","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Aleucis","distinctata","---",""
"3610","Alisma plantago-aquatica ---","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","Alisma","plantago-aquatica","---",""
"2977","Allecula morio ---","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Allecula","morio","---",""
"3528","Alliaria petiolata ---","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","petiolata","---",""
"254","Allium ampeloprasum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","ampeloprasum","---",""
"2028","Allium guttatum subsp.  sardoum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","guttatum","subsp.  sardoum",""
"3299","Allium oleraceum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","oleraceum","---",""
"3298","Allium oleraceum var. oleraceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","oleraceum","var. oleraceum",""
"4065","Allium roseum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","roseum","---",""
"4281","Allium schoenoprassum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","schoenoprassum","---",""
"4342","Allium senescens subsp.  montanum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","senescens","subsp.  montanum",""
"4450","Allium sphaerocephalon ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","sphaerocephalon","---",""
"4980","Allium ursinum ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","ursinum","---",""
"5088","Allium victorialis ---","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","victorialis","---",""
"3909","Allonyx quadrimaculatus ---","Animalia","Arthropoda","Insecta","Coleoptera","Cleridae","Allonyx","quadrimaculatus","---",""
"184","Allophyes alfaroi ---","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Allophyes","alfaroi","---",""
"1965","Alnus glutinosa ---","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","glutinosa","---",""
"192","Aloina aloides ---","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Aloina","aloides","---",""
"245","Aloina ambigua ---","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Aloina","ambigua","---",""
"4023","Aloina rigida ---","Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Aloina","rigida","---",""
"4517","Alona spp. ---","Animalia","Arthropoda","Branchiopoda","Diplostraca","Notassigned","Alona","spp.","---",""
"160","Alopecosa albofasciata ---","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa","albofasciata","---",""
