"Código","Nombre oficial","Definición oficial","m2 ocupados en la región mediterránea de España"
"2250","Dunas litorales con Juniperus spp. (*)","Formaciones de Juniperus [Juniperus turbinata ssp. turbinata (=J. lycia, J. phoenicea ssp. lycia), J. macrocarpa, J. navicularis (=J. transtagana, J. oxycedrus ssp. transtagana), J. communis] de valles y laderas dunares costeras mediterráneas y termoatlánticas (Juniperion lyciae). Formaciones de J. communis sobre dunas calcáreas. Este tipo de habitat incluye las comunidades de J. communis sobre dunas calcáreas de Jutland (Dinamarca) y las comunidades de J. phoenicea ssp. lycia del bosque de Riéges en la Camarga.","0"
"2260","Dunas con vegetación esclerólila del Cisto-Lavanduletalia","Matorrales esclerófilos o laurifolios de dunas estabilizadas mediterráneas y regiones húmedas y templadas.","0"
"2270","Dunas con bosques de Pinus pinea y/o Pinus pinaster (*)","Dunas costeras colonizadas por pinos termófilos mediterráneos y atlánticos, correspondientes a facies de sustitución o formaciones climax de especies de Quercus sp. de hoja perenne de origen artificial (Quercetalia ilicis o Ceratonio-Rhamnetalia).","0"
"3","Hábitat de agua dulce","",""
"31","Aguas estancadas","",""
"3110","Aguas oligotróficas con un contenido de minerales muy bajo de las llanuras arenosas (Littorelletalia uniflorae)","Masas de agua someras de débil mineralización y pobres en bases, con vegetación acuática o anfibia baja perenne perteneciente al orden (sintaxonómico) Littorelletalia uniflorae, que se localizan sobre sustratos oligotróficos de las orillas de lagos y lagunas (en ocasiones sobre suelos turbosos). Su vegetación consiste en una o más zonas, dominadas por Littorella, Lobelia dortmanna o Isoetes, aunque no todas las zonas deben necesariamente encontrarse en cada localidad.","1.563.400"
"3140","Aguas oligomesotróficas calcáreas con vegetación béntica de Chara spp.","Lagos, lagunas y humedales con aguas moderadamente ricas en bases disueltas (pH frecuente 6-7) o con aguas muy claras, verde azuladas, con concentraciones bajas o moderadas de nutrientes y ricas en bases (pH superior a 7,5). El fondo o la zona litoral de estas masas de agua están tapizados por carófitos de los géneros Chara o Nitella. En la región Boreal este tipo de hábitat incluye pequeñas charcas ¿gytja¿ de características oligotróficas y calcáreas, con densas praderas de Chara (siendo la especie dominante Ch. strigosa), a menudo rodeadas por zonas pantanosas eutróficas.","36.110.100"
"3150","Lagos eutróficos naturales con vegetación Magnopotamion o Hydrocharition","Lagos eutróficos naturales con vegetación Magnopotamion o Hydrocharition. Lagos y lagunas con aguas más o menos turbias, de color verdeazulado o grisaceo, particularmente ricas en bases disueltas (pH normalmente superior a 7), con comunidades flotantes de Hydrocharition o, en aguas abiertas más profundas, con asociaciones de grandes macrófitos (Magnopotamion).","53.253.300"
"3160","Lagos y estanques distróficos naturales","Lagunas y charcas naturales con aguas de color pardoamarillento debido a la presencia de materiales turbosos y de ácidos húmicos, generalmente situados sobre suelos turbosos o rañas, con evolución natural hacia la colmatación y formación de zonas pantanosas. El pH de sus aguas es generalmente ácido, entre 3 y 6. La comunidad vegetal está dominada por plantas del orden Utricularietalia.","0"
"3170","Estanques temporales mediterráneos (*)","Lagunas y charcas temporales muy someras que sólo se suelen encontrar inundadas durante el invierno y la primavera, con una flora formada principalmente por especies terófitas y geofitas mediterráneas pertenecientes a las alianzas Isoetion, Nanocyperion flavescentis, Preslion cervinae, Agrostion salmanticae, Heleochloion and Lythrion tribracteati.","283.426.200"
"3190","Lagos kársticos sobre yesos","Pequeños lagos y lagunas generalmente permanentes desarrollados en zonas de surgencias de aguas en áreas con karstificación activa sobre materiales ricos en yesos. Estas masas de agua se caracterizan por presentar unas fluctuaciones grandes de nivel (de hasta 2,5 m) determinadas por el nivel del acuífero subyacente y la cantidad de precipitación. Su profundidad no sobrepasa habitualmente los 7 m (esto no es así en España), aunque la estratificación de sus aguas está bien desarrollada (de primavera a principios de otoño). La disolución de los yesos confiere a sus aguas unas altas concentraciones de iones Ca2+ y SO4 2-. Estas condiciones permiten el desarrollo de poblaciones planctónicas y biofilms de bacterias púrpuras y verdes del azufre. Las comunidades de Charetea, Lemnetea y Potamogetonion conforman los elementos dominantes en la vegetación","0"
"32","Aguas corrientes -tramos de cursos de agua con dinámica natural y seminatural- en los que la calidad del agua no presenta alteraciones significativas","",""
"3220","Ríos alpinos con vegetación herbácea en sus orillas","Ríos alpinos de los sistemas montañosos de la mitad norte peninsular con vegetación pionera colonizadora de lechos pedregosos ribereños rica en determinados elementos centroeuropeos o mediterráneos de montaña","266.300"
"3230","Ríos alpinos con vegetación leñosa en sus orillas de Myricaria germanica","Ríos de montaña con formaciones arbustivas de Myrica germanica","0"
"3240","Ríos alpinos con vegetación leñosa en sus orillas de Salix elaeagnos","Ríos de montaña del norte de la península Ibérica con formaciones arbustivas de Salix o Hippophae","0"
"3250","Ríos mediterráneos de caudal permanente con Glaucium flavum","Ríos de las regiones de clima mediterráneo con caudal permanente, aunque fluctue a lo largo del año, que llevan depósitos aluviales de grava en sus márgenes colonizados por vegetación pionera de bajo porte.","46.613.100"
"3260","Ríos, de pisos de planicie a montano con vegetación de Ranunculion fluitantis y de Callitricho-Batrachion","Porciones medias y bajas de los ríos, con caudal variable, que contienen comunidades acuáticas sumergidas o de hojas flotantes.","8.335.800"
"3270","Ríos de orillas fangosas con vegetación de Chenopodion rubri p.p. y de Bidention p.p.","Cursos fluviales con aportes de sedimentos fangosos en las riberas, generalmente durante las crecidas, que son colonizados por especies pioneras y nitrófilas.","12.883.300"
"3280","Ríos mediterráneos de caudal permanente del Paspalo-Agrostidion con cortinas vegetales ribereñas de Salix y Populus alba","Ríos mediterráneos con caudal permanente, pero fluctuante, que llevan bosque en galería de Salix o de Populus con un pasto anfibio de herbáceas nitrófilas vivaces y rizomatosas","0"
"3290","Ríos mediterráneos de caudal intermitente del Paspalo-Agrostidion.","Intermittently flowing Mediterranean rivers with Paspalo-Agrostidion communities. They correspond to the river type 24.53, but with the particularity of an interrupted flow and a dry bed during a part of the year. The bed of the river can be completely dry or left with some pools.","0"
"4","Brezales y matorrales de zona templada","",""
"40","Brezales y matorrales de zona templada","",""
"4020","Brezales húmedos atlánticos de zona templadas de Erica ciliaris y Erica tetralix (*)","Brezales higrófilos, propios de áreas con un clima oceánico templado, sobre suelos semi-turbosos, suelos turbosos con minerales en superficie (hidromores) y turberas en proceso de drenaje, incluidos en los sintaxones Genistion micrantho-anglicae y Ulicion minoris: Ulici minoris -Ericetum ciliaris, Ulici gallii- Ericetum mackaianae,Ulici minoris-Ericetum tetralicis, Cirsio filipenduli-Ericetum ciliaris. Nota adicional: Los pastos de Juncus effusus/acutiflorus-Galium palustre y Molinia caerulea-Potentilla erecta están excluidos.","440.293.000"
"4030","Brezales secos europeos","Brezales mesófilos o xerófilos que crecen sobre suelos silíceos, podsolizados, en climas húmedos atlánticos o sub-atlánticos, en las zonas bajas y de media montaña del centro, norte y oeste de Europa. Subtipos: 31.21 Brezales sub-montanos con Vaccinium- Calluna. (Calluno-Genistion pilosae p.) (Vaccinion vitisidaeae p.): Vaccinio myrtilli- Callunetum s.l. i.a.: Matorrales ricos en arándanos (Vaccinium spp.), usualmente con Calluna vulgaris, de las zonas occidentales de las Islas Británicas, los territorios ercínicos y las zonas bajas de los Alpes, Cárpatos, Pirineos y Cordillera Cantábrica. 31.22 Brezales sub-atlánticos de Calluna-Genista. Calluno-Genistion pilosae p.: Brezales bajos de Calluna, usualmente ricos en Genista, localizados básicamente en las zonas bajas Germano-Bálticas. Formaciones similares pueden encontrarse en las Highlands británicas, en zonas de alta montaña del Mediterráneo occidental y zonas de elevada pluviosidad del Adriático por lo que deben ser incluidas en este subtipo. 31.23 Brezales atlánticos de Erica-Ulex. Ulicenion minoris, Daboecenion cantabricae p.: Ulicion maritimae p.: Brezales ricos en tojos (Ulex) de los climas atlánticos. 31.24 Brezales y Brezales-jarales ibero-atlánticos de Erica-Ulex-Cistus. Daboecenion cantabricae p., Ericenion umbellatae p.,Ericenion aragonensis. Ulicion maritimae p., Genistion micrantho-anglicae p.: Brezales aquitánicos con jaras y brezales-tojales-jarales mixtos ibéricos (dominados frecuentemente por Erica umbellata, E. aragonensis) con tojos (y otras leguminosas), jaras y en ocasiones Daboecia. Cuando las jaras y otros arbustos típicamente mediterráneos se convierten en dominantes, deben ser considerados como matorrales esclerófilos (32). 31.25 Brezales boreo-atlánticos de Erica cinerea.","6.369.078.700"
"4040","Brezales secos atlánticos costeros de Erica vagans (*)","Brezales costeros de zonas temperadas con Erica vagans y Ulex europaeus sobre suelos bien drenados, claramente distinguibles de otras formaciones costeras almohadilladas.","0"
"4050","Brezales macaronésicos endémicos (*)","Formaciones de ericáceas (de porte bajo y medio-alto) dominadas por Erica y Myrica (¿fayal-brezal¿). AndryaloEricetalia: Fayo-Ericion arboreae, Telino-Adenocarpion foliolosae (Canaries), Calluno-Ulicetalia: Daboecion azoricae, Ericetum azoricae, Daphno-Ericetum azoricae (Azores). Ilici canariensis-Ericetum platycodonis (Canaries) (Brezales de cresterías con Erica platycodon ¿tejo-). Bosques que ocupan las laderas a barlovento de los alisios del NE en las islas centrales y occidentales (Canarias), comúnmente a altitudes superiores a los bosques laurifolios, o por debajo de éstos en sus estados degradados o de transición. Formaciones de Erica arborea y de Erica maderensis con Armeria maderensis y Viola paradoxa (Madeira). Formaciones de porte bajo de brezo de Azores (Erica azorica) con cedro (Juniperus brevifolia) a gran altitud (Azores).","0"
"4060","Brezales alpinos y boreales","Formaciones de matorral de baja talla, postradas o rastreras, de las zonas alpinas o sub-alpinas de las montañas Euroasiáticas, dominadas por ericáceas, Dryas octopetala, enebros rastreros, piornos u escobas de montaña, formaciones de Dryas de las Islas Británicas y Escandinavia. Subtipos : 31.43 ¿ Enebrales rastreros de montaña. Juniperion nanae, Pino-Juniperion sabinae p., Pino-Cytision purgantis p. Formaciones usualmente densas de enebros postrados de las zonas elevadas de las montañas del sur de la región Paleártica. 31.44 ¿ Matorrales de Empetrum-Vaccinium de alta montaña: Empetro-Vaccinietum uliginosi. Matorrales camefíticos, sobre una capa herbácea, muscinal o liquénica, dominados por Empetrum hermaphroditum o Vaccinium uliginosum, con Arctostaphylos alpina, Vaccinium myrtillus, Vaccinium vitis-idaea y licopodiáceas (Huperzia selago, Diphasiastrum alpinum), musgos (Barbilophozia lycopodioides, Hylocomium splendens, Pleurozium schreberi, Rhythidiadelphus triquetrus) y líquenes (Cetraria islandica, Cladonia arbuscula, Cladonia rangiferina, Cladonia stellaris, Cladonia gracilis, Peltigera aphthosa). Se establecen en crestones venteados libres de nieve y expuestos a heladas, en el cinturón sub-alpino de los Alpes, Cárpatos, Pirineos, Macizo Central, Jura y Apeninos del Norte. Son sustituidos por comunidades del Loiseleurio-Vaccinion en situaciones más extremas. 31.47 ¿ Matorrales de gayubas. Mugo-Rhodoretum hirsuti p., Juniperion nanae p., i.a. Matorrales de Arctostaphylos uva-ursi o Arctostaphylos alpina de los pisos alpino, sub-alpino y, localmente, montano de los Alpes, Pirineos, norte y centro de los Apeninos, Dinaridos, Cárpatos, montañas balcánicas, Rodope (sur de Slavianka-Orvilos, Menikion, Pangeon, Falakron y Rhodopi), montañas Meso-Macedónicas (incluyendo Athos), Pelagonidas (sur de la frontera Greco-Macedonia, Tzena, Pinovon y Kajmakchalan) y Olimpo, en las montañas de Tesalia, preferentemente sobre sustratos calcáreos. 31.4A ¿ Matorrales de arándanos de alta montaña. Matorrales dominados por especies del género Vaccinium del cinturón sub-alpino de las montañas del sur de Europa, principalmente norte y sur de los Apeninos, montañas Balcánicas, Helenidas, montañas Pónticas y Caucásicas, con Vaccinium myrtillus, Vaccinium uliginosum s.l., Vaccinium vitis-idaea y, localmente, Empetrum nigrum. Son más ricas en especies herbáceas que las incluidas en 31.44 y usualmente toman el aspecto de pastos alpinos con pequeñas matas dispersas. Vaccinium myrtillus suele tener un papel dominante, frente a Vaccinium uliginosum y Empetrum hermaphroditum. 31.4B ¿ Piornales o escobonales de alta montaña Matorrales bajos de Genista spp. o Chamaecytisus spp. de los cinturones sub-alpino y zonas inferiores del piso alpino de las altas montañas meridionales, en particular Alpes, Apeninos Dinaridos, sur de los Cárpatos, montañas balcánicas, montañas Meso-Macedónicas, Pelagonidas Pindos del norte, Rodope y montañas de Tesalia.","0"
"4090","Brezales oromediterráneos endémicos con aliaga","Matorrales primarios almohadillados de las altas montañas mediterráneas e irano-turanianas sometidas a cierta sequía ambiental, dominados por matorrales bajos en forma de cojinete, frecuentemente espinosos, de los géneros Acantholimon, Astragalus, Erinacea, Vella, Bupleurum, Ptilotrichum, Genista, Echinospartum, Anthyllis y varias compuestas y labiadas, matorrales secundarios almohadillados, zoogénicos, de las mismas regiones biogeográficas y dominados por las mismas especies o por otras especificamente montanas o esteparias, situados con frecuencia en las zonas bajas de la ladera. Son frecuentes las formaciones dominadas por Genista de la región Mediterránea. Quedan excluidos los matorrales almohadillados termo-mediterráneos y los que se ubican en zonas desérticas y semidesérticas. Subtipos (presentes en España): 31.71- Matorrales erizoides pirenaicos. Formaciones de Echinospartum horridum (Junipero-Genistetum horridae) situados en las laderas superamediterráneas del sur de los Pirineos. Junto con los matorrales espinosos suele aparecer Juniperus hemisphaerica, Buxus sempervirens, Ononis fruticosa, Arctostaphylos uva-ursi ssp. crassifolia y Pinus sylvestris. 31.72 ¿ Matorrales erizoides del Sistema Central. Formaciones dominadas por diversas especies de Echinospartum (Cytiso oromediterranei-Echinospartetum barnadesii, Echinosparto pulviniformis-Cytisetum oromediterranei, Teucrii salviastri-Echinospartetum pulviniformis y Genisto hystricis-Echinospartetum lusitanici) situados en el Sistema Central y zonas adyacentes. 31.73 ¿ Matorrales erizoides de Sierra Nevada. Formaciones muy desarrolladas propias de Sierra Nevada (Erinacetalia p., Lavandulo-Genistion boissieri p.), constituidas por: Erinacea anthyllis, Vella spinosa, Astragalus sempervirens ssp. nevadensis, A. granatensis ssp. granatensis, Ptilotrichum spinosum, Bupleurum spinosum o Genista baetica. Suelen asociarse con formaciones frutescentes enanas en las crestas y las altas pendientes. 31.74 ¿ Cambrionales Franco-Ibéricos. Cambrionales montanos y otros matorrales erizoides propios de los pisos montano y oromediterráneo de la Península Ibérica y sur de Francia. 31.7E ¿ Matorrales erizoides con Astragalus sempervirens. Formaciones de Astragalus sempervirens ssp. sempervirens, Astragalus sempervirens ssp. muticus o Astragalus sempervirens ssp. cephalonicus propias de los alpes meridionales, zona oriental de los Pirineos, Iberia, los Apeninos y Grecia. Se trata de una formación transicional entre los matorrales ericoides alpinos y subalpinos referibles al tipo de hábitat 4060 Brezales alpinos y boreales y los matorrales erizoides genuinos que conforman el presente tipo de hábitat. 31.7F ¿ Matorrales erizoides canarios (Spartocytision nubigeni). Formaciones abiertas dominadas por especies escoboides en la zona montana (por encima de los 1.900 m) en las Islas Canarias. Abundan las especies endémicas.","15.040.057.500"
"5","Matorrales esclerófilos","",""
"51","Matorrales submediterráneos y de zona templada","",""
