"Código","Nombre oficial","Autor","Definición oficial"
"121012","Honckenyo-Euphorbietum peplis","Tüxen ex Géhu 1964","Herbazales halonitrófilos costeros atlánticos con arenarias de mar y lechetreznas"
"121013","Hypochoerido radicatae-Glaucietum flavi","Rivas Goday & Rivas-Martínez 1958","Herbazales halonitrófilos costeros mediterráneos de adormideras marinas"
"121014","Salsolo kali-Cakiletum aegyptiacae","Costa & Mansanet 1981","Herbazales halonitrófilos costeros mediterráneos de barrillas y rábanos marinos"
"121015","Eryngio maritimi-Sporoboletum arenarii","(Arènes ex Géhu & Biondi 1994) Rivas-Martínez & Cantó 2002","Herbazales de dunas llanas mediterráneo occidentales con esporobolos"
"121016","Sporoboletum arenarii"," Rothmaler 1943","Herbazales de dunas primarias en formación almerienses y malacitano-almijarenses"
"123010","Crithmo-Armerion maritimae","Géhu 1968","Céspedes de acantilados atlánticos"
"123011","Armerio depilatae-Limonietum ovalifolii","F. Prieto & Loidi 1984","Céspedes costeros halocasmofíticos cántabros"
"123012","Crithmo maritimi-Armerietum pubigerae","Rivas-Martínez 1978","Céspedes costeros halocasmofíticos espelucícolas gallegos atlánticos"
"123013","Crithmo maritimi-Limonietum binervosi","Pavillard ex A. Velasco 1983","Céspedes costeros halocasmofíticos espelucícolas norastúricos y euskaldunes"
"123014","Crithmo maritimi-Plantaginetum maritimae","Guinea 1949","Céspedes costeros halocasmofíticos espelucícolas galaicoasturianos occidentales"
"123015","Dauco gummiferi-Festucetum pruinosae","Rivas-Martínez 1978","Céspedes costeros halocasmofíticos espelucícolas galaicoasturiano occidentales con angélicas"
"123016","Leucanthemo crassifolii-Festucetum pruinosae","Géhu & Géhu-Franck 1980 corr. F. Prieto & Loidi 1984","Céspedes costeros halocasmofíticos espelucícolas cántabro-euskaldunes"
"123017","Spergulario rupicolae-Armerietum depilatae","F. Prieto & Loidi 1984","Céspedes costeros halocasmofíticos espelucícolas galaico asturianos occidentales y norastúricos"
"123020","Crithmo-Daucion halophili","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-Gon­zález & J.C. Costa 1990","Matorrales costeros con maresía lusitano-andaluces litorales"
"123021","Limonietum emarginati","Asensi 1984","Limoniales gibraltáricos"
"123030","Saginion maritimae","Westhoff, Van Leeuwen & Adriani 1962","Céspedes efímeros salinos atlánticos"
"123031","Sagino maritimae-Catapodietum marinae","Tüxen in Tüxen & Westhoff 1963","Gramales aeronitrohalófilos de acantilados ibéricos occidentales"
"12401A","Reichardio-Crithmetum maritimi","O. Bolòs 1962","Limoniales con lechuguilla dulce"
"124010","Crithmo-Limonion","Molinier 1934 nom. mut. propos.","Matorrales costeros con maresía mediterráneo occidentales (acantilados mediterráneos)"
"124011","Astragalo massilienis-Senecionetum cinerariae","O. Bolòs & Vigo 1984","Rosales de mar vallesano-empordaneses"
"124012","Crithmo-Helichrysetum decumbentis","Rigual 1972","Comunidades de perejil marino y perpetuas amarillas"
"124013","Crithmo-Limonietum dufourii","Costa 1982","Limoniales valenciano-tarraconenses"
"124014","Crithmo-Limonietum gibertii","O. Bolòs 1967","Limoniales valenciano-castellonenses"
"124015","Crithmo-Limonietum girardiani","Costa 1982","Limoniales castellonenses"
"124016","Crithmo-Limonietum malacitani","Díez-Garretas 1977 corr. Díez-Garretas 1981","Limoniales malacitano-almijarenses"
"124017","Crithmo-Limonietum rigualii","M.B. Crespo, De la Torre & Costa ined.","Limoniales alicantinos de Limonium rigualii"
"124018","Dauco hispanici-Crithmetum maritimi","O. Bolòs & Vigo 1984","Limoniales con bedelios sículos"
"124019","Limonio cossoniani-Lycietum intricati","Esteve 1973 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Limoniales murciano-almerienses"
"124020","Crithmo-Limonion","Molinier 1934 nom. mut. propos.","Matorrales costeros con maresía mediterráneo occidentales (acantilados mediterráneos: comunidades baleáricas)"
"124021","Crithmo-Limonietum balearici","Gil & Llorens 1995","Limoniales mallorquines"
"124022","Crithmo-Limonietum heterospicati","Costa & Llorens ined.","Limoniales ibicencos de Limonium heterospicatum"
"124023","Dauco commutati-Limonietum biflori","Gil & Llorens 1995 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousa & Penas 2002","Limoniales mallorquino-menorquines"
"124024","Dauco commutati-Limonietum marisoli","Gil & Llorens 1995 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousa & Penas 2002","Limoniales mallorquines con zanahorias"
"124025","Limonietum caprariensis","O. Bolòs & Molinier 1958 em. Gil & Llorens 1995","Limoniales mallorquino-cabrerenses"
"124026","Limonietum ebusitani","Rivas-Martínez, Costa & Loidi 1992","Limoniales ibicencos"
"124027","Limonietum majorico-gymnesici","Gil & Llorens 1995","Limoniales nordestinomallorquines"
"124028","Limonietum pseudodictyoclado-carregadorensis","Gil & Llorens 1995","Limoniales sobre arenas en el este de Mallorca"
"124029","Thymelaeo hirsutae-Asteriscetum maritimi","O. Bolòs & Molinier 1984","Bojales marinos"
"125010","Frankenio-Astydamion latifoliae","Santos 1976","Matorrales camefíticos costeros con maresía canarios"
"125011","Frankenio ericifoliae-Astydamietum latifoliae","Lohmeyer & Trautmann ex Santos 1976","Limoniales canarios"
"125012","Frankenio ericifoliae-Zygophylletum fontanesii","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 Santos corr.","Limoniales canarios con morsanas"
"131010","Salicornion dolichostachyo-fragilis","Géhu & Rivas-Martínez ex Géhu & Géhu-Franck 1984","Pastizales anuales halofíticos intermareales cántabro-atlánticos"
"131011","Salicornietum dolichostachyae","Géhu & Géhu-Franck 1984","Pastizales anuales halofíticos con hierba de las golondrinas"
"131020","Salicornion europaeo-ramosissimae","Géhu & Géhu-Franck 1984","Pastizales halofíticos de marismas y sustratos fangosos Atlántico-Centro Europeos"
"131021","Salicornietum obscurae","Géhu & Géhu-Franck 1984","Pastizales anuales halofíticos diariamente inundados cántabro-atlánticos"
"131022","Sarcocornio perennis-Salicornietum ramosissimae","(Géhu & Géhu-Franck 1979) Rivas-Martínez 1991","Pastizales anuales marismeños con sosas y salicores duros"
"131030","Microcnemion coralloidis","Rivas-Martínez 1984","pastizales halofíticos temporalmente inundados medietrráneo-continentales"
"131031","Halopeplidetum amplexicaulis","Burollet 1927","Pastizales anuales halófilos con salicornias y Halopeplis amplexicaulis"
"131032","Microcnemetum coralloidis","Rivas-Martínez in Rivas-Martínez & Costa 1976","Pastizales anuales medietrráneo continentales de Microcnemum coralloides"
"131033","Salicornietum emerici","O. Bolòs ex Brullo & Furnari 1976","Pastizales anuales salinos mediterráneo-litorales"
"131034","Suaedo braun-blanquetii-Salicornietum patulae","Br.-Bl. & O. Bolòs 1958 corr. Rivas-Martínez 1991","Pastizales anuales halófilos continentales con almarjos"
"131035","Suaedo spicatae-Salicornietum patulae","Brullo & Furnari ex Géhu & Géhu-Franck 1984 corr. Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998","Pastizales anuales temporalmente inundados mediterráneo-litorales"
"131036","Suaedo splendentis-Salicornietum patulae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980 corr. Rivas-Martínez 1991","Pastizales anuales marismeños con sargadillas"
"132010","Spartinion maritimae","Conard ex Beeftink & Géhu 1973","Praderas de fangos inundados por aguas mareales"
"132011","Spartinetum alterniflorae","Corillion 1953","Praderas de fangos inundados por aguas mareales de Spartina alterniflora"
"132012","Spartinetum densiflorae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Praderas de fangos inundados por aguas mareales de Spartina densiflora"
"132013","Spartinetum maritimae","Corillion 1953","Praderas de fangos inundados por aguas mareales de borrazas"
"132014","Spartino-Juncetum maritimi","O. Bolòs 1962","Juncales marinos con borrazas (Vegetación gramínica vivaz de Spartina)"
"133020","Puccinellion maritimae","Christiansen 1927",""
"133021","Halimiono-Puccinellietum maritimae","Izco ined.","Praderas salinas"
"133030","Glauco maritimae-Juncion maritimi","Géhu & Géhu-Franck 1984","Praderas juncales de marismas costeras (marjales atlánticos)"
"133031","Agrostio stoloniferae-Juncetum maritimi","Izco, P. Guitián & J.M. Sánchez 1993","Juncales marítimos con heno gris"
"133032","Junco maritimi-Caricetum extensae","Géhu 1976","Juncales marítimos con Juncus gerardi"
"14101A","Juncetum maritimo-subulati","Alcaraz 1984 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Juncales riparios salinos de juncos marinos"
"14101C","Schoeno nigricantis-Plantaginetum maritimae","Rivas-Martínez 1984","Praderas salobres marinas con amargones"
"14101D","Soncho crassifolii-Juncetum maritimi","Br.-Bl. & O. Bolòs 1958","Praderas juncales con juncos marinos y amargones"
"14101E","Spartino-Juncetum maritimi","O. Bolòs 1962","Juncal marismeños con borrazas (praderas juncales halófilas mediterráneas)"
"141010","Juncion maritimi","Br.-Bl. ex Horvatic 1934","Juncales costeros o continentales de junco marino (marjales mediterráneos)"
"141011","Aeluropodo littoralis-Juncetum subulati","Cirujano 1981","Gramales de Juncus subulatus"
"141012","Bupleuro tenuissimi-Juncetum gerardii","Rivas-Martínez in Rivas-Martínez & Costa 1976","Pradera juncal salina con hinojillos de conejo"
"141013","Caricetum divisae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Juncal-carrizal litoral menorquín"
"141014","Caro foetidi-Juncetum maritimi"," Esteve & Varo 1975","Juncal halófilo lacustre con Carum foetidum"
"141015","Centaureo dracunculifoliae-Dorycnietum gracilis","Esteve & Varo 1975","Juncales halófilo lacustre con Centaurea dracunculifolia"
"141016","Elymo curvifolii-Iridetum spuriae","(Rivas-Martínez in Rivas-Martínez & Costa 1976) Cirujano 1981","Jucales de junco marino y lirios"
"141017","Elymo curvifolii-Juncetum maritimi","Rivas-Martínez 1984","Juncal halófilo continental con junco marino"
"141018","Elymo elongati-Juncetum maritimi","Alcaraz, Garre, Peinado & Martínez-Parras 1986","Juncal halófilo con junco marino y salvios"
"141019","Inulo crithmoidis-Juncetum subulati","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Juncales halófilos continentales de Juncus subulatus"
"141020","Plantaginion crassifoliae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Praderas costeras halófilas de suelos drenados"
"141021","Holoschoenetum vulgaris","Br.-Bl. ex Tchou 1948","Juncal churrero ibérico oriental"
"141022","Schoeno nigricantis-Plantaginetum crassifoliae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Juncal negro con llantén de hojas gordas"
"141030","Puccinellion caespitosae","Rivas-Martínez in Rivas-Martínez & Costa 1976 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Praderas continentales de aguas estancadas"
"141031","Puccinellietum caespitosae","Rivas Goday in Rivas Goday, Borja, Monasterio, Galiano & Rivas-Martínez 1956 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Herbazales halófilo continetales lacustres con Puccinellia caespitosa"
"141032","Plantagini maritimae-Camphorosmetum monspeliacae","Ladero, Navarro, C. Valle, Marcos, Ruiz & M.T. Santos 1984","Pastizales halófilos salinos con alcanforadas"
"141033","Puccinellio caespitosae-Artemisietum gargantae","Cirujano 1981 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Micromatorrales halófilos continentales otoñales con Artemisia caerulescens subsp. gargantae"
"142010","Limoniastrion monopetali","Pignatti 1953","Praderas costeras termomediterráneas de suelos bien drenados"
"142011","Limonio densissimi-Limoniastretum monopetali","Pignatti 1953","Pastizales vivaces halófilos con salados."
"142020","Arthrocnemion glauci","Rivas-Martínez & Costa 1984","Praderas de salinas de marismas elevadas alejadas de la influencia mareal y continentales afines Mediterráneas y Lusitano-Andaluza Litorales"
"142021","Sphenopo divaricati-Arthrocnemetum glauci","Br.-Bl. 1933","Comunidades fruticosas de sosas grosas"
"142022","Arthrocnemo macrostachyi-Juncetum subulati","Brullo & Furnari 1976","Comunidades fruticosas de sosas grosas y Juncus subulatus"
"142023","Frankenio corymbosae-Arthrocnemetum macrostachyi","Rivas-Martínez, Alcaraz, Belmonte, Cantó & Sánchez-Mata 1984","Comunidades fruticosas de sosas grosas y limonios"
"142024","Frankenio corymbosae-Halocnemetum strobilacei","Rivas-Martínez, Alcaraz, Belmonte, Cantó & Sánchez-Mata 1984","Comunidades fruticosas de sosas grosas murciano-almerienses"
"142025","Inulo crithmoidis-Arthrocnemetum macrostachyi","Fontes ex Géhu & Géhu-Franck 1977","Comunidades fruticosas de sosas grosas y salvios"
"142026","Limonietum ferulacei","Rothmaler 1943","Matorrales camefíticos limosos y arenosos de Limonium ferulaceum"
"142027","Zygophyllo fontanesii-Arthrocnemetum macrostachyi","F. Galván & Santos 1984","Comunidades fruticosas de sosas grosas y morsanas"
"142030","Salicornion fruticosae","Br.-Bl. 1933","Marismas y salinas costeras mediterráneas y cántabro-atlánticas (matorrales halófilos mediterráneos y termo atlánticos)"
"142031","Arthrocnemo fruticosi-Suaedetum vermiculatae","Esteve 1968","Matorrales de salicornias de Lanzarote y Fuerteventura"
"142032","Cistancho phelypaeae-Arthrocnemetum fruticosi","Géhu ex Géhu & Géhu-Franck 1977","Praderas de almajos saldos ibéricos meridionales"
"142033","Puccinellio maritimae-Salicornietum fruticosae","Géhu 1976","Praderas de almajos y berdolaga marina"
"142034","Statico bellidifoliae-Salicornietum fruticosae","Br.-Bl. 1933","Praderas lacustres salinas de sosas grosas valenciano-catalanas"
"142040","Sarcocornienion alpini","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990","Praderas de salinas de marismas elevadas alejadas de la influencia mareal y continentales afines Mediterráneas y Lusitano-Andaluza Litoral"
"142041","Halimiono portulacoidis-Sarcocornietum alpini","Rivas-Martínez & Costa 1984","Praderas de sosa de las salinas y berdolagas marinas"
"142042","Sarcocornietum alpini","Br.-Bl. 1933 corr. Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990","Praderas de sosas de las salinas"
"142043","Comunidad de Sarcocornia alpini","","Praderas de sosas de las salinas"
"142050","Arthrocnemenion perennis","Rivas-Martínez in Rivas-Martínez & Costa 1984",""Praderas de marismas excepcionalmente influenciadas por la mareamediterráneas, lusitano-andaluzas litorales y cántabro-atlánticas hasta elsur de Galicia""
"142051","Obionetum portulacoidis","Kuhnholtz-Lordat 1926","Praderas de berdolagas marinas"
"142052","Puccinellio maritimae-Arthrocnemetum perennis","Géhu 1976","Praderas de sosas de las salinas y berdolagas marinas"
"142053","Sarcocornietum perennis","F. Galván & Santos 1984","Praderas de sosas de las salinas"
"142060","Suaedion verae","(Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990) Rivas-Martínez, Fernández-González & Loidi 1999","Praderas costeras halonitrófilas"
"142061","Agropyro pychnanthi-Suaedetum verae","(Arènes 1933) Géhu 1976 corr. Bueno 1997","Praderas de sargadillas cántabro-atlánticas"
"142062","Cistancho phelypaeae-Suadetum verae","Géhu & Géhu-Franck 1977","Praderas de sargadillas gaditano-onubense-algarbienses y murciano-almerienses"
"142063","Polygono equisetiformis-Limoniastretum monopetali","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Praderas de marismas con hierbas de la sangre."
"142064","Suaedetum fruticosae","Br.-Bl. ex O. Bolòs & Molinier 1958","Praderas de almajos"
"142070","Suaedion braun-blanquetii","Br.-Bl. & O. Bolòs 1958 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Matorrales de saladares inundados en invierno"
"142071","Puccinellio caespitosae-Suaedetum braun-blanquetii","Rivas-Martínez & Costa 1984 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Praderas de suelos margosos arcillosos continentales manchegas"
"142072","Puccinellio caespitosae-Arthrocnemetum macrostachyi","Castroviejo & Cirujano 1980 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Praderas de sosas grosas y Puccinellia caespitosa"
"142073","Puccinellio caespitosae-Sarcocornietum alpini","Castroviejo & Cirujano 1980 corr. Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Praderas de sosas de las salinas y Puccinellia caespitosa"
"142074","Suaedetum braun-blanquetii","Br.-Bl. in Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936 corr. O. Bolòs 1997","Praderas halófilas bardeno-monegrinas"
"142075","Suaedo braun-blanquetii-Arthrocnemetum macrostachyi","(Br.-Bl. & O. Bolòs 1958) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Praderas halófilas bardeno-monegrinas con sosas grosas"
"143010","Carthamo arborescentis-Salsolion oppositifoliae","Rivas Goday & Rivas-Martínez 1963","Matorrales halonitrófilos murciano-almerienses y de zonas próximas"
"143011","Atriplicetum glauco-halimi","Rivas-Martínez & Alcaraz in Alcaraz 1984","Matorrales halonitrófilos infra-mesomediterráneos de saladillas y orzagas"
"143012","Atriplici glaucae-Suaedetum pruinosae","Rigual 1972","Matorrales nitrófilos salinos infra-mesomediterráneos de Suaeda pruinosa"
"143013","Salsolo oppositifoliae-Atriplicetum halimi","Costa, Peris & Stübing ex Cantó, Laorga & Belmonte 1986 corr. Pérez-Badia 1997","Matorrales halonitrófilos alcoyano-diánicos y pitiúsicos"
"143014","Salsolo oppositifoliae-Suaedetum verae","Rivas Goday & Rigual 1958 corr. Alcaraz, T.E. Díaz, Rivas-Martínez & Sánchez-Gómez","Matorrales halonitrófilos termomediterráneos murciano-almerienses"
"143015","Soncho tenerrimi-Salsoletum vermiculatae","O. Bolòs & Molinier 1958","Matorrales halonitrófilos termo-mesomediterráneos Valenciano-Tarraconenses y Vallesano-Empordaneses."
"143016","Withanio frutescentis-Lycietum intricati","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Matorrales halonitrófilos de acantilados y promontorios marinos con cambrones"
"143017","Salsolo vermiculatae-Lycietum intricati","Llorens & Guijarro 1982","Matorrales halonitrófilos de los acantilados y promontorios marinos del sur peninsular"
"143020","Salsolo vermiculatae-Peganion harmalae","Br.-Bl. & O. Bolòs 1954","Matorrales nitrófilos camefíticos o nanofanerofíticos mediterráneos continentales"
"143021","Artemisio herbae-albae-Frankenietum thymifoliae","Rivas-Martínez & Izco in Izco 1972","Matorrales gipsófilos y nitrófilos con ajeas churras"
"143022","Camphorosmetum monspeliacae","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi ined.","Matorrales de alcanforada"
"143023","Limonio dichotomi-Atriplicetum halimi","Cirujano 1981","Matorrales subsalinos continentales ibéricos con orzagas"
"143024","Artemisio valentinae-Atriplicetum halimi","Laorga & Belmonte in Belmonte & Laorga 1987","Orgazales con ligera hidromorfía temporal"
"143025","Salsolo vermiculatae-Peganetum harmalae","Br.-Bl. & O. Bolòs 1954","Matorrales nitrófilos de caramillos"
"143026","Salsolo vermiculatae-Artemisietum herbae-albae","(Br.-Bl. & O. Bolòs 1958) O. Bolòs 1967","Matorrales nitro-halófilos de caramillos y ajeas churras"
"151010","Limonion catalaunico-viciosoi","Rivas-Martínez & Costa 1984","Praderas continentales mesomediterráneas semiáridas y secas bardeno-monegrinas"
"151011","Gypsophiletum tomentosae","Br.-Bl. & O. Bolòs 1958 1976 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Albardinales salinos con jaboneras"
"151012","Limonietum latebracteati","Br.-Bl. & O. Bolòs 1958 corr. Alonso & De la Torre 1999","Limoniales bardeno-monegrinos"
"151013","Limonio ruizii-Sarcocornietum alpini","Rivas-Martínez, Cantó & Sánchez-Mata in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Limoniales bardeno-monegrinos con sosas de las salinas"
"151020","Limonion confusi","(Br.-Bl. 1933) Rivas-Martínez & Costa 1984","Limoniales costeros mediterráneo occidentales"
"151021","Artemisio gallicae-Staticetum virgatae","Br.-Bl. 1933","Tomillares blancos marinos con canadillos reales"
"151022","Frankenio pulverulentae-Limonietum grosii","Llorens 1986","Tomillares de alboholes y limonios baleáricos"
"151023","Limonietum retuso-formenterae","Llorens 1986","Limoniales de Ibiza y Formentera"
"151024","Comunidad de Limonium alcudianum y L. virgatum","","Limoniales mallorquines de Limonium alcudianum y L. Virgatum"
"151025","Limonietum magallufiano-boirae","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998","Limoniales ibicencos con Limonium boirae"
"151026","Limonietum ferulacei","Rothmaler 1943","Praderas de saladares con Limonium ferulaceum"
"151027","Limonietum antoni-llorensii-migjornensis","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998","Limoniales mallorquines con Limonium antoni-llorensii"
"151028","Inulo crithmoidis-Limonietum virgati","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998","Praderas salinas con Limonium virgatum"
"151030","Lygeo-Lepidion cardamines","Rivas Goday & Rivas-Martínez ex Rivas-Martínez & Costa 1984","Praderas continentales mesomediterráneas secas castellanas"
"151031","Gypsophilo tomentosae-Limonietum dichotomi","Rivas-Martínez & Izco in Rivas-Martínez & Costa 1976","Espartales salinos con limonios"
"151032","Frankenio thymifoliae-Limonietum latebracteati","Castroviejo & Porta 1976 corr. Alonso & De la Torre 1999","Tomillares blancos marinos con limonios"
"151033","Senecioni castellani-Lygeetum sparti","Rivas Goday & Rivas-Martínez in Rivas-Martínez & Costa 1976 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Espartales salinos con Limonium dichotomum"
"151040","Lygeo sparti-Limonion angustebracteati","Rigual ex Alcaraz, P. Sánchez & De la Torre 1989","Praderas costeras y continentales murciano almerienses y albardinares termomediterráneos semiáridos"
"151041","Artemisio gallicae-Limonietum angustebracteati","Costa & Boira 1981","Limoniales de Limonium angustebracteati"
"151042","Limonietum angustebracteato-delicatuli","Rivas-Martínez & Alcaraz in Alcaraz 1984","Limoniales de saladares murcianos con Limonium delicatulum"
"151043","Limonietum caesio-delicatuli","Rigual 1968","Limoniales alicantinos con Limonium caesium"
"151044","Limonietum caesio-supini","Alcaraz, Sánchez-Gómez & De la Torre 1989","Limoniales de saladares alicantinos y setabenses con Limonium caesium y L. Supinum"
"151045","Limonio caesii-Lygeetum sparti","Rivas-Martínez & Alcaraz in Alcaraz 1984","Albardinal halófilo yesífero murciano-almeriense y alicantino"
"151046","Limonio delicatuli-Gypsophiletum tomentosae","Peinado & Martínez-Parras 1983","Matorrales halófilos guadigeños-baztetanos y alicantinos"
"151047","Limonio insignis-Lygeetum sparti","Alcaraz, P. Sánchez & De la Torre 1989","Albardinales de Limonium insigne"
"151048","Senecioni majoris-Limonietum furfuracei","Rigual 1968","Albardinales de margas salinas con Limonium furfuraceum"
"15105A","Suaedo splendentis-Salsoletum sodae","Br.-Bl. 1933","Pastizales anuales salinos con sodas y sargadillas"
"151050","Frankenion pulverulentae","Rivas-Martínez ex Castroviejo & Porta 1976","Pastizales salinos de aguas estancadas costeras o continentales"
"151051","Aizoo hispanici-Suaedetum splendentis","Br.-Bl. & O. Bolòs 1958","Pastizales anuales semihalófilos con sargadillas y gazules"
"151052","Cressetum villosae","Rothmaler 1943 corr. Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Pastizales anuales halófilos de Cressa cretica var. villosa"
"151053","Hainardio cylindricae-Lophochloetum hispidae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Pastizales anuales salobres de marisma gaditano-onubo algarvienses"
"151054","Catapodio marini-Frankenietum pulverulentae","(Rivas-Martínez, Costa & Loidi 1992) Rivas-Martínez, Costa & Loidi 2002","Pastizales anuales estivales de saladares continentales"
"151055","Parapholido incurvae-Frankenietum pulverulentae","Rivas-Martínez ex Castroviejo & Porta 1976","Pastizales anuales preestivales de saladares continentales manchegos"
"151056","Plantagini coronopodi-Hordeetum marini","O. Bolòs & Molinier ex O. Bolòs 1962","Pastizales de espigueras y cervinas"
"151057","Polypogono maritimi-Hordeetum marini","Cirujano 1981","Pastizales de espigueras y pelujos"
"151058","Sagino maritimae-Bellidetum bellidioidis","Rivas-Martínez, Costa & Loidi 1992","Pastizales anuales halonitrófilos de acantilados ibicencos"
"151059","Suaedetum spicato-splendentis","Rivas-Martínez, Cantó & Sanchez-Mata in Rivas-Martínez, T.E.Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Pastizales anuales manchegos con sargadillas"
